,age,gender,smile,mood,attention,distance
2175,24,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.46
2177,24,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.4
2179,19,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.44
2195,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.81
2196,19,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.8
2198,19,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.77
2200,20,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.53
2201,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.48
2225,23,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.53
2226,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.42
2235,31,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.53
2254,23,FEMALE,SMILING,NEGATIVE,LOOKING_DOWN,0.57
2255,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.76
2256,23,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.51
2268,24,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.47
2271,24,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.46
2274,24,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.44
2275,24,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.62
2307,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.76
2308,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.66
2319,23,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.65
2380,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.47
2382,20,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.61
2388,20,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.94
2390,20,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.91
2393,20,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.76
2396,20,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.97
2398,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.96
2402,20,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.4
2404,20,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.88
2406,20,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,1.0
2408,17,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,1.03
2413,18,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.97
2418,23,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.48
2420,23,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,1.08
2421,22,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,1.28
2431,22,FEMALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,0.67
2436,22,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.54
2437,22,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.53
2438,22,FEMALE,NOT_SMILING,POSITIVE,LOOKING_AT_ROBOT,0.56
2450,20,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.62
2451,20,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.64
